image,label
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_200.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_200.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_044.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_044.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_085.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_085.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_064.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_064.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_223.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_223.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_110.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_110.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_222.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_222.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_215.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_215.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_016.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_016.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_332.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_332.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_077.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_077.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_005.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_005.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_104.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_104.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_123.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_123.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_013.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_013.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_002.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_002.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_028.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_028.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_315.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_315.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_097.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_097.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_081.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_081.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_231.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_231.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_117.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_117.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_307.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_307.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_172.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_172.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_048.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_048.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_336.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_336.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/all/BraTS20_Training_080.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_f_i-t2_f_cyc_all_with_small/BraTS20_Training_080.nii.gz
