image,label
BraTS20_Training_133.nii.gz,BraTS20_Training_133.nii.gz
BraTS20_Training_302.nii.gz,BraTS20_Training_302.nii.gz
BraTS20_Training_111.nii.gz,BraTS20_Training_111.nii.gz
BraTS20_Training_137.nii.gz,BraTS20_Training_137.nii.gz
BraTS20_Training_077.nii.gz,BraTS20_Training_077.nii.gz
BraTS20_Training_228.nii.gz,BraTS20_Training_228.nii.gz
BraTS20_Training_004.nii.gz,BraTS20_Training_004.nii.gz
BraTS20_Training_269.nii.gz,BraTS20_Training_269.nii.gz
BraTS20_Training_052.nii.gz,BraTS20_Training_052.nii.gz
BraTS20_Training_215.nii.gz,BraTS20_Training_215.nii.gz
BraTS20_Training_198.nii.gz,BraTS20_Training_198.nii.gz
BraTS20_Training_064.nii.gz,BraTS20_Training_064.nii.gz
BraTS20_Training_173.nii.gz,BraTS20_Training_173.nii.gz
BraTS20_Training_044.nii.gz,BraTS20_Training_044.nii.gz
BraTS20_Training_048.nii.gz,BraTS20_Training_048.nii.gz
BraTS20_Training_110.nii.gz,BraTS20_Training_110.nii.gz
BraTS20_Training_358.nii.gz,BraTS20_Training_358.nii.gz
BraTS20_Training_275.nii.gz,BraTS20_Training_275.nii.gz
BraTS20_Training_310.nii.gz,BraTS20_Training_310.nii.gz
BraTS20_Training_005.nii.gz,BraTS20_Training_005.nii.gz
BraTS20_Training_104.nii.gz,BraTS20_Training_104.nii.gz
BraTS20_Training_051.nii.gz,BraTS20_Training_051.nii.gz
BraTS20_Training_085.nii.gz,BraTS20_Training_085.nii.gz
BraTS20_Training_050.nii.gz,BraTS20_Training_050.nii.gz
BraTS20_Training_128.nii.gz,BraTS20_Training_128.nii.gz
BraTS20_Training_259.nii.gz,BraTS20_Training_259.nii.gz
BraTS20_Training_349.nii.gz,BraTS20_Training_349.nii.gz
BraTS20_Training_016.nii.gz,BraTS20_Training_016.nii.gz
BraTS20_Training_075.nii.gz,BraTS20_Training_075.nii.gz
BraTS20_Training_336.nii.gz,BraTS20_Training_336.nii.gz
BraTS20_Training_257.nii.gz,BraTS20_Training_257.nii.gz
BraTS20_Training_255.nii.gz,BraTS20_Training_255.nii.gz
BraTS20_Training_233.nii.gz,BraTS20_Training_233.nii.gz
BraTS20_Training_082.nii.gz,BraTS20_Training_082.nii.gz
BraTS20_Training_134.nii.gz,BraTS20_Training_134.nii.gz
BraTS20_Training_332.nii.gz,BraTS20_Training_332.nii.gz
BraTS20_Training_239.nii.gz,BraTS20_Training_239.nii.gz
BraTS20_Training_012.nii.gz,BraTS20_Training_012.nii.gz
BraTS20_Training_176.nii.gz,BraTS20_Training_176.nii.gz
BraTS20_Training_080.nii.gz,BraTS20_Training_080.nii.gz
BraTS20_Training_223.nii.gz,BraTS20_Training_223.nii.gz
BraTS20_Training_209.nii.gz,BraTS20_Training_209.nii.gz
BraTS20_Training_162.nii.gz,BraTS20_Training_162.nii.gz
BraTS20_Training_135.nii.gz,BraTS20_Training_135.nii.gz
BraTS20_Training_087.nii.gz,BraTS20_Training_087.nii.gz
BraTS20_Training_340.nii.gz,BraTS20_Training_340.nii.gz
BraTS20_Training_045.nii.gz,BraTS20_Training_045.nii.gz
BraTS20_Training_068.nii.gz,BraTS20_Training_068.nii.gz
BraTS20_Training_337.nii.gz,BraTS20_Training_337.nii.gz
BraTS20_Training_230.nii.gz,BraTS20_Training_230.nii.gz
BraTS20_Training_174.nii.gz,BraTS20_Training_174.nii.gz
BraTS20_Training_178.nii.gz,BraTS20_Training_178.nii.gz
BraTS20_Training_170.nii.gz,BraTS20_Training_170.nii.gz
BraTS20_Training_305.nii.gz,BraTS20_Training_305.nii.gz
BraTS20_Training_304.nii.gz,BraTS20_Training_304.nii.gz
BraTS20_Training_165.nii.gz,BraTS20_Training_165.nii.gz
BraTS20_Training_277.nii.gz,BraTS20_Training_277.nii.gz
