image,label
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_133.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_133.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_302.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_302.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_111.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_111.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_137.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_137.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_077.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_077.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_228.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_228.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_004.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_004.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_269.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_269.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_052.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_052.nii.gz
/data2/jianghao/FPL-UDA/bst_data/t2_train/img/BraTS20_Training_215.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/m-dsbn_t2_i-t2_trainall/BraTS20_Training_215.nii.gz
