image,label
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_005.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_005.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_012.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_012.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_028.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_028.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_044.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_044.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_048.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_048.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_082.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_082.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_087.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_087.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_094.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_094.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_110.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_110.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_128.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_128.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_142.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_142.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_172.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_172.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_190.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_190.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_217.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_217.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_233.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_233.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_275.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_275.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_277.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_277.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_311.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_311.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_317.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_317.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_cyc/BraTS20_Training_341.nii.gz,/data2/jianghao/FPL-UDA/bst_data/fake_nii/small_t-f_lab/BraTS20_Training_341.nii.gz
