image,label
vs_gk_5_t2_seg.nii.gz,vs_gk_5_t2.nii.gz
vs_gk_199_t2_seg.nii.gz,vs_gk_199_t2.nii.gz
vs_gk_46_t2_seg.nii.gz,vs_gk_46_t2.nii.gz
vs_gk_189_t2_seg.nii.gz,vs_gk_189_t2.nii.gz
vs_gk_188_t2_seg.nii.gz,vs_gk_188_t2.nii.gz
vs_gk_59_t2_seg.nii.gz,vs_gk_59_t2.nii.gz
vs_gk_172_t2_seg.nii.gz,vs_gk_172_t2.nii.gz
vs_gk_105_t2_seg.nii.gz,vs_gk_105_t2.nii.gz
vs_gk_94_t2_seg.nii.gz,vs_gk_94_t2.nii.gz
vs_gk_187_t2_seg.nii.gz,vs_gk_187_t2.nii.gz
vs_gk_61_t2_seg.nii.gz,vs_gk_61_t2.nii.gz
vs_gk_149_t2_seg.nii.gz,vs_gk_149_t2.nii.gz
vs_gk_206_t2_seg.nii.gz,vs_gk_206_t2.nii.gz
vs_gk_119_t2_seg.nii.gz,vs_gk_119_t2.nii.gz
vs_gk_102_t2_seg.nii.gz,vs_gk_102_t2.nii.gz
vs_gk_249_t2_seg.nii.gz,vs_gk_249_t2.nii.gz
vs_gk_64_t2_seg.nii.gz,vs_gk_64_t2.nii.gz
vs_gk_133_t2_seg.nii.gz,vs_gk_133_t2.nii.gz
vs_gk_73_t2_seg.nii.gz,vs_gk_73_t2.nii.gz
vs_gk_110_t2_seg.nii.gz,vs_gk_110_t2.nii.gz
vs_gk_109_t2_seg.nii.gz,vs_gk_109_t2.nii.gz
vs_gk_142_t2_seg.nii.gz,vs_gk_142_t2.nii.gz
vs_gk_78_t2_seg.nii.gz,vs_gk_78_t2.nii.gz
vs_gk_220_t2_seg.nii.gz,vs_gk_220_t2.nii.gz
vs_gk_20_t2_seg.nii.gz,vs_gk_20_t2.nii.gz
vs_gk_80_t2_seg.nii.gz,vs_gk_80_t2.nii.gz
vs_gk_225_t2_seg.nii.gz,vs_gk_225_t2.nii.gz
vs_gk_213_t2_seg.nii.gz,vs_gk_213_t2.nii.gz
vs_gk_75_t2_seg.nii.gz,vs_gk_75_t2.nii.gz
vs_gk_235_t2_seg.nii.gz,vs_gk_235_t2.nii.gz
vs_gk_193_t2_seg.nii.gz,vs_gk_193_t2.nii.gz
vs_gk_176_t2_seg.nii.gz,vs_gk_176_t2.nii.gz
vs_gk_150_t2_seg.nii.gz,vs_gk_150_t2.nii.gz
vs_gk_84_t2_seg.nii.gz,vs_gk_84_t2.nii.gz
vs_gk_118_t2_seg.nii.gz,vs_gk_118_t2.nii.gz
vs_gk_22_t2_seg.nii.gz,vs_gk_22_t2.nii.gz
vs_gk_248_t2_seg.nii.gz,vs_gk_248_t2.nii.gz
vs_gk_45_t2_seg.nii.gz,vs_gk_45_t2.nii.gz
vs_gk_8_t2_seg.nii.gz,vs_gk_8_t2.nii.gz
vs_gk_192_t2_seg.nii.gz,vs_gk_192_t2.nii.gz
