image,label
vs_gk_206_t2_seg.nii.gz,vs_gk_206_t2.nii.gz
vs_gk_13_t2_seg.nii.gz,vs_gk_13_t2.nii.gz
vs_gk_36_t2_seg.nii.gz,vs_gk_36_t2.nii.gz
vs_gk_188_t2_seg.nii.gz,vs_gk_188_t2.nii.gz
vs_gk_65_t2_seg.nii.gz,vs_gk_65_t2.nii.gz
vs_gk_149_t2_seg.nii.gz,vs_gk_149_t2.nii.gz
vs_gk_199_t2_seg.nii.gz,vs_gk_199_t2.nii.gz
vs_gk_240_t2_seg.nii.gz,vs_gk_240_t2.nii.gz
vs_gk_172_t2_seg.nii.gz,vs_gk_172_t2.nii.gz
vs_gk_183_t2_seg.nii.gz,vs_gk_183_t2.nii.gz
vs_gk_54_t2_seg.nii.gz,vs_gk_54_t2.nii.gz
vs_gk_20_t2_seg.nii.gz,vs_gk_20_t2.nii.gz
vs_gk_59_t2_seg.nii.gz,vs_gk_59_t2.nii.gz
vs_gk_64_t2_seg.nii.gz,vs_gk_64_t2.nii.gz
vs_gk_182_t2_seg.nii.gz,vs_gk_182_t2.nii.gz
vs_gk_108_t2_seg.nii.gz,vs_gk_108_t2.nii.gz
vs_gk_84_t2_seg.nii.gz,vs_gk_84_t2.nii.gz
vs_gk_205_t2_seg.nii.gz,vs_gk_205_t2.nii.gz
vs_gk_5_t2_seg.nii.gz,vs_gk_5_t2.nii.gz
vs_gk_187_t2_seg.nii.gz,vs_gk_187_t2.nii.gz
vs_gk_34_t2_seg.nii.gz,vs_gk_34_t2.nii.gz
vs_gk_60_t2_seg.nii.gz,vs_gk_60_t2.nii.gz
vs_gk_86_t2_seg.nii.gz,vs_gk_86_t2.nii.gz
vs_gk_220_t2_seg.nii.gz,vs_gk_220_t2.nii.gz
vs_gk_166_t2_seg.nii.gz,vs_gk_166_t2.nii.gz
vs_gk_150_t2_seg.nii.gz,vs_gk_150_t2.nii.gz
vs_gk_45_t2_seg.nii.gz,vs_gk_45_t2.nii.gz
vs_gk_109_t2_seg.nii.gz,vs_gk_109_t2.nii.gz
vs_gk_46_t2_seg.nii.gz,vs_gk_46_t2.nii.gz
vs_gk_235_t2_seg.nii.gz,vs_gk_235_t2.nii.gz
vs_gk_94_t2_seg.nii.gz,vs_gk_94_t2.nii.gz
vs_gk_95_t2_seg.nii.gz,vs_gk_95_t2.nii.gz
vs_gk_102_t2_seg.nii.gz,vs_gk_102_t2.nii.gz
vs_gk_198_t2_seg.nii.gz,vs_gk_198_t2.nii.gz
vs_gk_176_t2_seg.nii.gz,vs_gk_176_t2.nii.gz
vs_gk_114_t2_seg.nii.gz,vs_gk_114_t2.nii.gz
vs_gk_118_t2_seg.nii.gz,vs_gk_118_t2.nii.gz
vs_gk_133_t2_seg.nii.gz,vs_gk_133_t2.nii.gz
vs_gk_78_t2_seg.nii.gz,vs_gk_78_t2.nii.gz
vs_gk_6_t2_seg.nii.gz,vs_gk_6_t2.nii.gz
