image,label
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_100_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_100_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_111_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_111_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_114_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_114_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_128_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_128_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_131_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_131_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_141_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_141_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_163_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_163_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_175_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_175_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_182_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_182_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_183_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_183_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_18_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_18_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_229_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_229_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_34_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_34_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_41_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_41_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_4_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_4_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_60_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_60_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_65_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_65_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_77_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_77_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_8_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_8_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_cyc/vs_gk_93_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/small_t2-t1_lab/vs_gk_93_t2_seg.nii.gz
