image,label
vs_gk_100_t2_seg.nii.gz,vs_gk_100_t2.nii.gz
vs_gk_102_t2_seg.nii.gz,vs_gk_102_t2.nii.gz
vs_gk_111_t2_seg.nii.gz,vs_gk_111_t2.nii.gz
vs_gk_114_t2_seg.nii.gz,vs_gk_114_t2.nii.gz
vs_gk_128_t2_seg.nii.gz,vs_gk_128_t2.nii.gz
vs_gk_131_t2_seg.nii.gz,vs_gk_131_t2.nii.gz
vs_gk_141_t2_seg.nii.gz,vs_gk_141_t2.nii.gz
vs_gk_165_t2_seg.nii.gz,vs_gk_165_t2.nii.gz
vs_gk_175_t2_seg.nii.gz,vs_gk_175_t2.nii.gz
vs_gk_182_t2_seg.nii.gz,vs_gk_182_t2.nii.gz
vs_gk_183_t2_seg.nii.gz,vs_gk_183_t2.nii.gz
vs_gk_18_t2_seg.nii.gz,vs_gk_18_t2.nii.gz
vs_gk_196_t2_seg.nii.gz,vs_gk_196_t2.nii.gz
vs_gk_20_t2_seg.nii.gz,vs_gk_20_t2.nii.gz
vs_gk_229_t2_seg.nii.gz,vs_gk_229_t2.nii.gz
vs_gk_22_t2_seg.nii.gz,vs_gk_22_t2.nii.gz
vs_gk_242_t2_seg.nii.gz,vs_gk_242_t2.nii.gz
vs_gk_34_t2_seg.nii.gz,vs_gk_34_t2.nii.gz
vs_gk_41_t2_seg.nii.gz,vs_gk_41_t2.nii.gz
vs_gk_4_t2_seg.nii.gz,vs_gk_4_t2.nii.gz
vs_gk_60_t2_seg.nii.gz,vs_gk_60_t2.nii.gz
vs_gk_61_t2_seg.nii.gz,vs_gk_61_t2.nii.gz
vs_gk_65_t2_seg.nii.gz,vs_gk_65_t2.nii.gz
vs_gk_77_t2_seg.nii.gz,vs_gk_77_t2.nii.gz
vs_gk_84_t2_seg.nii.gz,vs_gk_84_t2.nii.gz
vs_gk_8_t2_seg.nii.gz,vs_gk_8_t2.nii.gz
vs_gk_93_t2_seg.nii.gz,vs_gk_93_t2.nii.gz
