image,label
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_101_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_101_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_103_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_103_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_104_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_104_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_106_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_106_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_113_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_113_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_11_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_11_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_122_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_122_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_125_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_125_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_169_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_169_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_16_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_16_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_170_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_170_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_173_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_173_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_185_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_185_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_195_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_195_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_19_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_19_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_204_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_204_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_234_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_234_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_25_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_25_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_26_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_26_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_28_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_28_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_29_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_29_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_2_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_2_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_31_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_31_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_32_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_32_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_38_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_38_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_42_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_42_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_52_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_52_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_53_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_53_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_55_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_55_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_58_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_58_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_96_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_96_t1_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_99_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_99_t1_seg.nii.gz
