image,label
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_100_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_100_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_102_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_102_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_105_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_105_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_107_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_107_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_109_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_109_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_110_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_110_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_111_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_111_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_115_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_115_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_116_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_116_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_118_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_118_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_119_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_119_t2.npy
/data2/jianghao/FPL-UDA/vs_data/T2_train/img/vs_gk_124_t2.nii.gz,/data2/jianghao/VS/vs_seg2021/results/pl_t2_npy_hard/vs_gk_124_t2.npy
