image,label
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_003.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_003.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_006.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_006.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_009.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_009.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_010.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_010.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_011.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_011.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_018.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_018.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_019.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_019.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_022.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_022.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_024.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_024.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_025.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_025.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_026.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_026.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/f-t2_cyc/BraTS20_Training_029.nii.gz,/data2/jianghao/FPL-UDA/bst_data/flair_train/lab/BraTS20_Training_029.nii.gz
