image,label
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_001.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_001.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_002.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_002.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_004.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_004.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_005.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_005.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_012.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_012.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_013.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_013.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_014.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_014.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_015.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_015.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_017.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_017.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_028.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_028.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_037.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_037.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_039.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_039.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_044.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_044.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_045.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_045.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_050.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_050.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_051.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_051.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_053.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_053.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_054.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_054.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_056.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_056.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_064.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_064.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_066.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_066.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_068.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_068.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_072.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_072.nii.gz
/data2/jianghao/FPL-UDA/bst_data/fake_nii/t2-f_cut/BraTS20_Training_074.nii.gz,/data2/jianghao/FPL-UDA/bst_data/t2_train/lab/BraTS20_Training_074.nii.gz
