image,label
BraTS20_Training_003.nii.gz,BraTS20_Training_003.nii.gz
BraTS20_Training_006.nii.gz,BraTS20_Training_006.nii.gz
BraTS20_Training_009.nii.gz,BraTS20_Training_009.nii.gz
BraTS20_Training_010.nii.gz,BraTS20_Training_010.nii.gz
BraTS20_Training_011.nii.gz,BraTS20_Training_011.nii.gz
BraTS20_Training_018.nii.gz,BraTS20_Training_018.nii.gz
BraTS20_Training_019.nii.gz,BraTS20_Training_019.nii.gz
BraTS20_Training_022.nii.gz,BraTS20_Training_022.nii.gz
BraTS20_Training_024.nii.gz,BraTS20_Training_024.nii.gz
BraTS20_Training_025.nii.gz,BraTS20_Training_025.nii.gz
BraTS20_Training_026.nii.gz,BraTS20_Training_026.nii.gz
BraTS20_Training_029.nii.gz,BraTS20_Training_029.nii.gz
BraTS20_Training_031.nii.gz,BraTS20_Training_031.nii.gz
BraTS20_Training_033.nii.gz,BraTS20_Training_033.nii.gz
BraTS20_Training_038.nii.gz,BraTS20_Training_038.nii.gz
BraTS20_Training_041.nii.gz,BraTS20_Training_041.nii.gz
BraTS20_Training_043.nii.gz,BraTS20_Training_043.nii.gz
BraTS20_Training_046.nii.gz,BraTS20_Training_046.nii.gz
BraTS20_Training_047.nii.gz,BraTS20_Training_047.nii.gz
BraTS20_Training_049.nii.gz,BraTS20_Training_049.nii.gz
BraTS20_Training_057.nii.gz,BraTS20_Training_057.nii.gz
BraTS20_Training_058.nii.gz,BraTS20_Training_058.nii.gz
BraTS20_Training_061.nii.gz,BraTS20_Training_061.nii.gz
BraTS20_Training_062.nii.gz,BraTS20_Training_062.nii.gz
BraTS20_Training_063.nii.gz,BraTS20_Training_063.nii.gz
BraTS20_Training_065.nii.gz,BraTS20_Training_065.nii.gz
BraTS20_Training_067.nii.gz,BraTS20_Training_067.nii.gz
BraTS20_Training_070.nii.gz,BraTS20_Training_070.nii.gz
BraTS20_Training_071.nii.gz,BraTS20_Training_071.nii.gz
BraTS20_Training_073.nii.gz,BraTS20_Training_073.nii.gz
BraTS20_Training_078.nii.gz,BraTS20_Training_078.nii.gz
BraTS20_Training_079.nii.gz,BraTS20_Training_079.nii.gz
BraTS20_Training_083.nii.gz,BraTS20_Training_083.nii.gz
BraTS20_Training_084.nii.gz,BraTS20_Training_084.nii.gz
BraTS20_Training_088.nii.gz,BraTS20_Training_088.nii.gz
BraTS20_Training_089.nii.gz,BraTS20_Training_089.nii.gz
BraTS20_Training_092.nii.gz,BraTS20_Training_092.nii.gz
BraTS20_Training_093.nii.gz,BraTS20_Training_093.nii.gz
BraTS20_Training_095.nii.gz,BraTS20_Training_095.nii.gz
BraTS20_Training_098.nii.gz,BraTS20_Training_098.nii.gz
BraTS20_Training_099.nii.gz,BraTS20_Training_099.nii.gz
BraTS20_Training_101.nii.gz,BraTS20_Training_101.nii.gz
BraTS20_Training_102.nii.gz,BraTS20_Training_102.nii.gz
BraTS20_Training_105.nii.gz,BraTS20_Training_105.nii.gz
BraTS20_Training_107.nii.gz,BraTS20_Training_107.nii.gz
BraTS20_Training_108.nii.gz,BraTS20_Training_108.nii.gz
BraTS20_Training_109.nii.gz,BraTS20_Training_109.nii.gz
BraTS20_Training_112.nii.gz,BraTS20_Training_112.nii.gz
BraTS20_Training_114.nii.gz,BraTS20_Training_114.nii.gz
BraTS20_Training_115.nii.gz,BraTS20_Training_115.nii.gz
BraTS20_Training_116.nii.gz,BraTS20_Training_116.nii.gz
BraTS20_Training_119.nii.gz,BraTS20_Training_119.nii.gz
BraTS20_Training_120.nii.gz,BraTS20_Training_120.nii.gz
BraTS20_Training_122.nii.gz,BraTS20_Training_122.nii.gz
BraTS20_Training_125.nii.gz,BraTS20_Training_125.nii.gz
BraTS20_Training_126.nii.gz,BraTS20_Training_126.nii.gz
BraTS20_Training_129.nii.gz,BraTS20_Training_129.nii.gz
BraTS20_Training_130.nii.gz,BraTS20_Training_130.nii.gz
BraTS20_Training_138.nii.gz,BraTS20_Training_138.nii.gz
BraTS20_Training_140.nii.gz,BraTS20_Training_140.nii.gz
BraTS20_Training_141.nii.gz,BraTS20_Training_141.nii.gz
BraTS20_Training_147.nii.gz,BraTS20_Training_147.nii.gz
BraTS20_Training_149.nii.gz,BraTS20_Training_149.nii.gz
BraTS20_Training_150.nii.gz,BraTS20_Training_150.nii.gz
BraTS20_Training_151.nii.gz,BraTS20_Training_151.nii.gz
BraTS20_Training_156.nii.gz,BraTS20_Training_156.nii.gz
BraTS20_Training_157.nii.gz,BraTS20_Training_157.nii.gz
BraTS20_Training_158.nii.gz,BraTS20_Training_158.nii.gz
BraTS20_Training_160.nii.gz,BraTS20_Training_160.nii.gz
BraTS20_Training_164.nii.gz,BraTS20_Training_164.nii.gz
BraTS20_Training_167.nii.gz,BraTS20_Training_167.nii.gz
BraTS20_Training_168.nii.gz,BraTS20_Training_168.nii.gz
BraTS20_Training_169.nii.gz,BraTS20_Training_169.nii.gz
BraTS20_Training_171.nii.gz,BraTS20_Training_171.nii.gz
BraTS20_Training_177.nii.gz,BraTS20_Training_177.nii.gz
BraTS20_Training_179.nii.gz,BraTS20_Training_179.nii.gz
BraTS20_Training_180.nii.gz,BraTS20_Training_180.nii.gz
BraTS20_Training_181.nii.gz,BraTS20_Training_181.nii.gz
