image,label
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_164_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_164_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_16_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_16_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_52_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_52_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_171_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_171_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_104_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_104_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_70_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_70_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_125_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_125_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_92_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_92_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_191_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_191_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_170_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/ISBI_vst2s_G_t1-t2_cyc_train/vs_gk_170_t1.nii.gz
