image,label
BraTS20_Training_275.nii.gz,BraTS20_Training_275.nii.gz
BraTS20_Training_128.nii.gz,BraTS20_Training_128.nii.gz
BraTS20_Training_329.nii.gz,BraTS20_Training_329.nii.gz
BraTS20_Training_304.nii.gz,BraTS20_Training_304.nii.gz
BraTS20_Training_302.nii.gz,BraTS20_Training_302.nii.gz
BraTS20_Training_113.nii.gz,BraTS20_Training_113.nii.gz
BraTS20_Training_094.nii.gz,BraTS20_Training_094.nii.gz
BraTS20_Training_299.nii.gz,BraTS20_Training_299.nii.gz
BraTS20_Training_264.nii.gz,BraTS20_Training_264.nii.gz
BraTS20_Training_217.nii.gz,BraTS20_Training_217.nii.gz
BraTS20_Training_017.nii.gz,BraTS20_Training_017.nii.gz
BraTS20_Training_341.nii.gz,BraTS20_Training_341.nii.gz
BraTS20_Training_232.nii.gz,BraTS20_Training_232.nii.gz
BraTS20_Training_215.nii.gz,BraTS20_Training_215.nii.gz
BraTS20_Training_074.nii.gz,BraTS20_Training_074.nii.gz
BraTS20_Training_131.nii.gz,BraTS20_Training_131.nii.gz
BraTS20_Training_005.nii.gz,BraTS20_Training_005.nii.gz
BraTS20_Training_336.nii.gz,BraTS20_Training_336.nii.gz
BraTS20_Training_117.nii.gz,BraTS20_Training_117.nii.gz
BraTS20_Training_307.nii.gz,BraTS20_Training_307.nii.gz
BraTS20_Training_315.nii.gz,BraTS20_Training_315.nii.gz
BraTS20_Training_310.nii.gz,BraTS20_Training_310.nii.gz
BraTS20_Training_222.nii.gz,BraTS20_Training_222.nii.gz
BraTS20_Training_269.nii.gz,BraTS20_Training_269.nii.gz
BraTS20_Training_145.nii.gz,BraTS20_Training_145.nii.gz
BraTS20_Training_012.nii.gz,BraTS20_Training_012.nii.gz
BraTS20_Training_231.nii.gz,BraTS20_Training_231.nii.gz
BraTS20_Training_082.nii.gz,BraTS20_Training_082.nii.gz
BraTS20_Training_287.nii.gz,BraTS20_Training_287.nii.gz
BraTS20_Training_146.nii.gz,BraTS20_Training_146.nii.gz
BraTS20_Training_200.nii.gz,BraTS20_Training_200.nii.gz
BraTS20_Training_054.nii.gz,BraTS20_Training_054.nii.gz
BraTS20_Training_002.nii.gz,BraTS20_Training_002.nii.gz
BraTS20_Training_253.nii.gz,BraTS20_Training_253.nii.gz
BraTS20_Training_068.nii.gz,BraTS20_Training_068.nii.gz
BraTS20_Training_279.nii.gz,BraTS20_Training_279.nii.gz
BraTS20_Training_237.nii.gz,BraTS20_Training_237.nii.gz
BraTS20_Training_076.nii.gz,BraTS20_Training_076.nii.gz
BraTS20_Training_326.nii.gz,BraTS20_Training_326.nii.gz
BraTS20_Training_195.nii.gz,BraTS20_Training_195.nii.gz
BraTS20_Training_013.nii.gz,BraTS20_Training_013.nii.gz
BraTS20_Training_004.nii.gz,BraTS20_Training_004.nii.gz
BraTS20_Training_353.nii.gz,BraTS20_Training_353.nii.gz
BraTS20_Training_096.nii.gz,BraTS20_Training_096.nii.gz
BraTS20_Training_257.nii.gz,BraTS20_Training_257.nii.gz
BraTS20_Training_356.nii.gz,BraTS20_Training_356.nii.gz
BraTS20_Training_139.nii.gz,BraTS20_Training_139.nii.gz
BraTS20_Training_077.nii.gz,BraTS20_Training_077.nii.gz
BraTS20_Training_066.nii.gz,BraTS20_Training_066.nii.gz
BraTS20_Training_205.nii.gz,BraTS20_Training_205.nii.gz
BraTS20_Training_039.nii.gz,BraTS20_Training_039.nii.gz
BraTS20_Training_198.nii.gz,BraTS20_Training_198.nii.gz
BraTS20_Training_238.nii.gz,BraTS20_Training_238.nii.gz
BraTS20_Training_121.nii.gz,BraTS20_Training_121.nii.gz
BraTS20_Training_255.nii.gz,BraTS20_Training_255.nii.gz
BraTS20_Training_345.nii.gz,BraTS20_Training_345.nii.gz
BraTS20_Training_176.nii.gz,BraTS20_Training_176.nii.gz
