image,label
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_366.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_366.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_251.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_251.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_359.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_359.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_348.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_348.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_141.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_141.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_322.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_322.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_362.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_362.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_344.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_344.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_335.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_335.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_071.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_071.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_098.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_098.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_130.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_130.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_179.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_179.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_352.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_352.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_041.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_041.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_343.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_343.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_318.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_318.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_183.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_183.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_122.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_122.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_244.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_244.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_246.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_246.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_102.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_102.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_319.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_319.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_083.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_083.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_019.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_019.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_105.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_105.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_242.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_242.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_084.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_084.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_003.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_003.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_194.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_194.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_204.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_204.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_245.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_245.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_197.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_197.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_065.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_065.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_062.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_062.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_218.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_218.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_320.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_320.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_324.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_324.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_249.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_249.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_169.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_169.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_203.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_203.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_022.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_022.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_101.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_101.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_281.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_281.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_185.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_185.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_009.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_009.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_024.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_024.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_093.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_093.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_049.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_049.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_033.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_033.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_108.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_108.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_115.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_115.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_168.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_168.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_184.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_184.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_243.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_243.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_107.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_107.nii.gz
/data2/jianghao/FPL-UDA/bst_data/flair_train/img/BraTS20_Training_078.nii.gz,/data2/jianghao/VS/vs_seg2021/results_bst/ISBI_bst_t2s_G_f-t2_train_cyc/BraTS20_Training_078.nii.gz
