image,label
BraTS20_Training_188.nii.gz,BraTS20_Training_188.nii.gz
BraTS20_Training_122.nii.gz,BraTS20_Training_122.nii.gz
BraTS20_Training_071.nii.gz,BraTS20_Training_071.nii.gz
BraTS20_Training_164.nii.gz,BraTS20_Training_164.nii.gz
BraTS20_Training_061.nii.gz,BraTS20_Training_061.nii.gz
BraTS20_Training_343.nii.gz,BraTS20_Training_343.nii.gz
BraTS20_Training_303.nii.gz,BraTS20_Training_303.nii.gz
BraTS20_Training_298.nii.gz,BraTS20_Training_298.nii.gz
BraTS20_Training_194.nii.gz,BraTS20_Training_194.nii.gz
BraTS20_Training_107.nii.gz,BraTS20_Training_107.nii.gz
BraTS20_Training_003.nii.gz,BraTS20_Training_003.nii.gz
BraTS20_Training_158.nii.gz,BraTS20_Training_158.nii.gz
BraTS20_Training_229.nii.gz,BraTS20_Training_229.nii.gz
BraTS20_Training_256.nii.gz,BraTS20_Training_256.nii.gz
BraTS20_Training_105.nii.gz,BraTS20_Training_105.nii.gz
BraTS20_Training_318.nii.gz,BraTS20_Training_318.nii.gz
BraTS20_Training_147.nii.gz,BraTS20_Training_147.nii.gz
BraTS20_Training_359.nii.gz,BraTS20_Training_359.nii.gz
BraTS20_Training_271.nii.gz,BraTS20_Training_271.nii.gz
BraTS20_Training_101.nii.gz,BraTS20_Training_101.nii.gz
BraTS20_Training_041.nii.gz,BraTS20_Training_041.nii.gz
BraTS20_Training_119.nii.gz,BraTS20_Training_119.nii.gz
BraTS20_Training_193.nii.gz,BraTS20_Training_193.nii.gz
BraTS20_Training_022.nii.gz,BraTS20_Training_022.nii.gz
BraTS20_Training_179.nii.gz,BraTS20_Training_179.nii.gz
BraTS20_Training_058.nii.gz,BraTS20_Training_058.nii.gz
BraTS20_Training_320.nii.gz,BraTS20_Training_320.nii.gz
BraTS20_Training_244.nii.gz,BraTS20_Training_244.nii.gz
BraTS20_Training_046.nii.gz,BraTS20_Training_046.nii.gz
BraTS20_Training_333.nii.gz,BraTS20_Training_333.nii.gz
BraTS20_Training_366.nii.gz,BraTS20_Training_366.nii.gz
BraTS20_Training_031.nii.gz,BraTS20_Training_031.nii.gz
BraTS20_Training_102.nii.gz,BraTS20_Training_102.nii.gz
BraTS20_Training_260.nii.gz,BraTS20_Training_260.nii.gz
BraTS20_Training_057.nii.gz,BraTS20_Training_057.nii.gz
BraTS20_Training_168.nii.gz,BraTS20_Training_168.nii.gz
BraTS20_Training_098.nii.gz,BraTS20_Training_098.nii.gz
BraTS20_Training_352.nii.gz,BraTS20_Training_352.nii.gz
BraTS20_Training_218.nii.gz,BraTS20_Training_218.nii.gz
BraTS20_Training_083.nii.gz,BraTS20_Training_083.nii.gz
BraTS20_Training_278.nii.gz,BraTS20_Training_278.nii.gz
BraTS20_Training_197.nii.gz,BraTS20_Training_197.nii.gz
BraTS20_Training_084.nii.gz,BraTS20_Training_084.nii.gz
BraTS20_Training_108.nii.gz,BraTS20_Training_108.nii.gz
BraTS20_Training_009.nii.gz,BraTS20_Training_009.nii.gz
BraTS20_Training_011.nii.gz,BraTS20_Training_011.nii.gz
BraTS20_Training_347.nii.gz,BraTS20_Training_347.nii.gz
BraTS20_Training_297.nii.gz,BraTS20_Training_297.nii.gz
BraTS20_Training_249.nii.gz,BraTS20_Training_249.nii.gz
BraTS20_Training_183.nii.gz,BraTS20_Training_183.nii.gz
BraTS20_Training_335.nii.gz,BraTS20_Training_335.nii.gz
BraTS20_Training_140.nii.gz,BraTS20_Training_140.nii.gz
BraTS20_Training_348.nii.gz,BraTS20_Training_348.nii.gz
BraTS20_Training_344.nii.gz,BraTS20_Training_344.nii.gz
BraTS20_Training_114.nii.gz,BraTS20_Training_114.nii.gz
BraTS20_Training_242.nii.gz,BraTS20_Training_242.nii.gz
BraTS20_Training_079.nii.gz,BraTS20_Training_079.nii.gz
