image,label
BraTS20_Training_315.nii.gz,BraTS20_Training_315.nii.gz
BraTS20_Training_295.nii.gz,BraTS20_Training_295.nii.gz
BraTS20_Training_299.nii.gz,BraTS20_Training_299.nii.gz
BraTS20_Training_222.nii.gz,BraTS20_Training_222.nii.gz
BraTS20_Training_113.nii.gz,BraTS20_Training_113.nii.gz
BraTS20_Training_307.nii.gz,BraTS20_Training_307.nii.gz
BraTS20_Training_205.nii.gz,BraTS20_Training_205.nii.gz
BraTS20_Training_209.nii.gz,BraTS20_Training_209.nii.gz
BraTS20_Training_276.nii.gz,BraTS20_Training_276.nii.gz
BraTS20_Training_238.nii.gz,BraTS20_Training_238.nii.gz
BraTS20_Training_279.nii.gz,BraTS20_Training_279.nii.gz
BraTS20_Training_045.nii.gz,BraTS20_Training_045.nii.gz
BraTS20_Training_200.nii.gz,BraTS20_Training_200.nii.gz
BraTS20_Training_068.nii.gz,BraTS20_Training_068.nii.gz
BraTS20_Training_077.nii.gz,BraTS20_Training_077.nii.gz
BraTS20_Training_176.nii.gz,BraTS20_Training_176.nii.gz
BraTS20_Training_304.nii.gz,BraTS20_Training_304.nii.gz
BraTS20_Training_142.nii.gz,BraTS20_Training_142.nii.gz
BraTS20_Training_302.nii.gz,BraTS20_Training_302.nii.gz
BraTS20_Training_257.nii.gz,BraTS20_Training_257.nii.gz
BraTS20_Training_358.nii.gz,BraTS20_Training_358.nii.gz
BraTS20_Training_223.nii.gz,BraTS20_Training_223.nii.gz
BraTS20_Training_311.nii.gz,BraTS20_Training_311.nii.gz
BraTS20_Training_201.nii.gz,BraTS20_Training_201.nii.gz
BraTS20_Training_111.nii.gz,BraTS20_Training_111.nii.gz
BraTS20_Training_231.nii.gz,BraTS20_Training_231.nii.gz
BraTS20_Training_066.nii.gz,BraTS20_Training_066.nii.gz
BraTS20_Training_123.nii.gz,BraTS20_Training_123.nii.gz
BraTS20_Training_353.nii.gz,BraTS20_Training_353.nii.gz
BraTS20_Training_014.nii.gz,BraTS20_Training_014.nii.gz
BraTS20_Training_002.nii.gz,BraTS20_Training_002.nii.gz
BraTS20_Training_075.nii.gz,BraTS20_Training_075.nii.gz
BraTS20_Training_155.nii.gz,BraTS20_Training_155.nii.gz
BraTS20_Training_074.nii.gz,BraTS20_Training_074.nii.gz
BraTS20_Training_081.nii.gz,BraTS20_Training_081.nii.gz
BraTS20_Training_037.nii.gz,BraTS20_Training_037.nii.gz
BraTS20_Training_230.nii.gz,BraTS20_Training_230.nii.gz
BraTS20_Training_269.nii.gz,BraTS20_Training_269.nii.gz
BraTS20_Training_117.nii.gz,BraTS20_Training_117.nii.gz
