image,label
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_111_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_111_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_128_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_128_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_141_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_141_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_152_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_152_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_163_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_163_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_175_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_175_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_182_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_182_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_183_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_183_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_18_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_18_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_196_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_196_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_205_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_205_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_213_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_213_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_229_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_229_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_22_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_22_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_235_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_235_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_34_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_34_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_41_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_41_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_60_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_60_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_65_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_65_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_77_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_77_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_84_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_84_t2_seg.nii.gz
/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-cyc/vs_gk_93_t2.nii.gz,/data2/jianghao/FPL-UDA/vs_data/fake_nii/T2-T1-small-lab/vs_gk_93_t2_seg.nii.gz
