image,label
vs_gk_163_t2_seg.nii.gz,vs_gk_163_t2.nii.gz
vs_gk_176_t2_seg.nii.gz,vs_gk_176_t2.nii.gz
vs_gk_187_t2_seg.nii.gz,vs_gk_187_t2.nii.gz
vs_gk_65_t2_seg.nii.gz,vs_gk_65_t2.nii.gz
vs_gk_64_t2_seg.nii.gz,vs_gk_64_t2.nii.gz
vs_gk_183_t2_seg.nii.gz,vs_gk_183_t2.nii.gz
vs_gk_86_t2_seg.nii.gz,vs_gk_86_t2.nii.gz
vs_gk_80_t2_seg.nii.gz,vs_gk_80_t2.nii.gz
vs_gk_22_t2_seg.nii.gz,vs_gk_22_t2.nii.gz
vs_gk_240_t2_seg.nii.gz,vs_gk_240_t2.nii.gz
vs_gk_199_t2_seg.nii.gz,vs_gk_199_t2.nii.gz
vs_gk_36_t2_seg.nii.gz,vs_gk_36_t2.nii.gz
vs_gk_205_t2_seg.nii.gz,vs_gk_205_t2.nii.gz
vs_gk_124_t2_seg.nii.gz,vs_gk_124_t2.nii.gz
vs_gk_78_t2_seg.nii.gz,vs_gk_78_t2.nii.gz
vs_gk_77_t2_seg.nii.gz,vs_gk_77_t2.nii.gz
vs_gk_133_t2_seg.nii.gz,vs_gk_133_t2.nii.gz
vs_gk_5_t2_seg.nii.gz,vs_gk_5_t2.nii.gz
vs_gk_84_t2_seg.nii.gz,vs_gk_84_t2.nii.gz
vs_gk_95_t2_seg.nii.gz,vs_gk_95_t2.nii.gz
vs_gk_235_t2_seg.nii.gz,vs_gk_235_t2.nii.gz
vs_gk_228_t2_seg.nii.gz,vs_gk_228_t2.nii.gz
vs_gk_231_t2_seg.nii.gz,vs_gk_231_t2.nii.gz
vs_gk_242_t2_seg.nii.gz,vs_gk_242_t2.nii.gz
vs_gk_196_t2_seg.nii.gz,vs_gk_196_t2.nii.gz
vs_gk_41_t2_seg.nii.gz,vs_gk_41_t2.nii.gz
vs_gk_59_t2_seg.nii.gz,vs_gk_59_t2.nii.gz
vs_gk_45_t2_seg.nii.gz,vs_gk_45_t2.nii.gz
vs_gk_46_t2_seg.nii.gz,vs_gk_46_t2.nii.gz
vs_gk_128_t2_seg.nii.gz,vs_gk_128_t2.nii.gz
vs_gk_189_t2_seg.nii.gz,vs_gk_189_t2.nii.gz
vs_gk_100_t2_seg.nii.gz,vs_gk_100_t2.nii.gz
vs_gk_60_t2_seg.nii.gz,vs_gk_60_t2.nii.gz
vs_gk_220_t2_seg.nii.gz,vs_gk_220_t2.nii.gz
vs_gk_141_t2_seg.nii.gz,vs_gk_141_t2.nii.gz
vs_gk_226_t2_seg.nii.gz,vs_gk_226_t2.nii.gz
vs_gk_147_t2_seg.nii.gz,vs_gk_147_t2.nii.gz
vs_gk_213_t2_seg.nii.gz,vs_gk_213_t2.nii.gz
vs_gk_110_t2_seg.nii.gz,vs_gk_110_t2.nii.gz
vs_gk_193_t2_seg.nii.gz,vs_gk_193_t2.nii.gz
vs_gk_8_t2_seg.nii.gz,vs_gk_8_t2.nii.gz
vs_gk_23_t2_seg.nii.gz,vs_gk_23_t2.nii.gz
vs_gk_149_t2_seg.nii.gz,vs_gk_149_t2.nii.gz
vs_gk_248_t2_seg.nii.gz,vs_gk_248_t2.nii.gz
vs_gk_115_t2_seg.nii.gz,vs_gk_115_t2.nii.gz
vs_gk_197_t2_seg.nii.gz,vs_gk_197_t2.nii.gz
vs_gk_105_t2_seg.nii.gz,vs_gk_105_t2.nii.gz
vs_gk_229_t2_seg.nii.gz,vs_gk_229_t2.nii.gz
vs_gk_75_t2_seg.nii.gz,vs_gk_75_t2.nii.gz
vs_gk_157_t2_seg.nii.gz,vs_gk_157_t2.nii.gz
vs_gk_188_t2_seg.nii.gz,vs_gk_188_t2.nii.gz
vs_gk_116_t2_seg.nii.gz,vs_gk_116_t2.nii.gz
vs_gk_192_t2_seg.nii.gz,vs_gk_192_t2.nii.gz
vs_gk_150_t2_seg.nii.gz,vs_gk_150_t2.nii.gz
vs_gk_142_t2_seg.nii.gz,vs_gk_142_t2.nii.gz
vs_gk_20_t2_seg.nii.gz,vs_gk_20_t2.nii.gz
vs_gk_165_t2_seg.nii.gz,vs_gk_165_t2.nii.gz
vs_gk_33_t2_seg.nii.gz,vs_gk_33_t2.nii.gz
vs_gk_94_t2_seg.nii.gz,vs_gk_94_t2.nii.gz
vs_gk_73_t2_seg.nii.gz,vs_gk_73_t2.nii.gz
