image,label
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_101_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_101_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_103_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_103_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_104_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_104_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_106_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_106_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_112_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_112_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_113_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_113_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_11_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_11_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_122_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_122_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_123_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_123_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_125_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_125_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_126_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_126_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_129_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_129_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_12_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_12_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_132_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_132_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_134_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_134_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_135_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_135_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_136_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_136_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_139_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_139_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_140_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_140_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_143_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_143_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_145_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_145_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_14_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_14_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_151_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_151_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_153_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_153_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_154_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_154_t1.nii.gz
/data2/jianghao/FPL-UDA/vs_data/T1_train/img/vs_gk_156_t1.nii.gz,/data2/jianghao/VS/vs_seg2021/results_dual/cyc12_vst2s_3t2+2t1_121_t1_train/vs_gk_156_t1.nii.gz
