image,label
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_101_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_101_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_103_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_103_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_104_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_104_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_106_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_106_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_112_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_112_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_113_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_113_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_11_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_11_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_122_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_122_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_123_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_123_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_125_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_125_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_126_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_126_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_129_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_129_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_12_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_12_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_132_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_132_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_134_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_134_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_135_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_135_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_136_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_136_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_139_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_139_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_140_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_140_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_143_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_143_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_145_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_145_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_14_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_14_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_151_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_151_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_153_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_153_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_154_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_154_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_156_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_156_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_15_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_15_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_164_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_164_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_169_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_169_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_16_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_16_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_170_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_170_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_171_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_171_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_173_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_173_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_178_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_178_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_179_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_179_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_17_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_17_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_181_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_181_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_185_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_185_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_186_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_186_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_190_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_190_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_191_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_191_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_195_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_195_t1_seg.nii.gz
/data2/jianghao/VS/AccSeg-Net-main/images/vs_t1s/vs_gk_19_t1.nii.gz,/data2/jianghao/FPL-UDA/vs_data/T1_train/lab/vs_gk_19_t1_seg.nii.gz
